City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Kiama,AU,1559662333,75,93,-34.67,150.86,52.27,3.6
Haverfordwest,GB,1559662309,75,87,51.8,-4.97,56.26,3.6
El Reno,US,1559662334,1,83,35.53,-97.96,80.28,6.2
Atuona,PF,1559662334,25,77,-9.8,-139.03,82.44,8.58
Luderitz,NA,1559662334,0,72,-26.65,15.16,59.27,5.1
Padang,ID,1559662334,100,71,-0.92,100.36,85.14,1.55
Natal,BR,1559662230,40,52,-5.81,-35.21,88.07,7.2
Brigantine,US,1559662124,1,34,39.41,-74.36,71.28,2
Cidreira,BR,1559662335,7,68,-30.17,-50.22,65.7,1.87
Rikitea,PF,1559662335,47,78,-23.12,-134.97,75.78,7.54
Punta Arenas,CL,1559662335,75,93,-53.16,-70.91,41.27,4.1
Yellowknife,CA,1559662335,75,93,62.45,-114.38,43.07,1.5
Hilo,US,1559662335,90,88,19.71,-155.08,71.87,4.1
Joshimath,IN,1559662336,3,27,30.57,79.57,57.24,3
Hermanus,ZA,1559662336,100,81,-34.42,19.24,62.28,2.68
College,US,1559662336,1,61,64.86,-147.8,51.28,1.76
Tuktoyaktuk,CA,1559662336,75,86,69.44,-133.03,34.07,6.2
